                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.81423,                 1.1146,                 1.0731,                0.29323,                0.19038,                0.17567,                0.12882,                 1.1283,                 2.0637,                 1.3904,               0.003268,               0.003268,               0.003268
                     70,                0.82176,                 1.0621,                 1.0755,                0.41452,                0.14986,                0.19171,                0.13726,                 1.0911,                 1.9889,                 1.3291,               0.003169,               0.003169,               0.003169
                     71,                0.82027,                 1.1007,                 1.0715,                0.23558,                0.22916,                0.20906,                0.15958,                 1.0716,                 1.9842,                 1.3203,                0.00307,                0.00307,                0.00307
                     72,                0.79834,                 1.0255,                 1.0765,                0.25919,                0.23484,                0.19397,                0.14374,                 1.1192,                  1.955,                 1.3499,               0.002971,               0.002971,               0.002971
                     73,                0.81655,                 1.0489,                  1.076,                0.25708,                0.22254,                0.18635,                0.13455,                 1.0887,                 1.9624,                 1.3243,               0.002872,               0.002872,               0.002872
                     74,                0.80248,                 1.0063,                 1.0611,                0.25498,                0.23342,                0.18067,                0.12936,                 1.0794,                 2.0014,                 1.3275,               0.002773,               0.002773,               0.002773
                     75,                 0.7826,                0.95778,                 1.0592,                0.23823,                0.20859,                0.18572,                 0.1351,                 1.0729,                 1.9371,                 1.3116,               0.002674,               0.002674,               0.002674
                     76,                0.80129,                0.99708,                 1.0643,                0.28763,                0.16952,                0.17572,                0.12878,                 1.0782,                 2.0952,                 1.3351,               0.002575,               0.002575,               0.002575
                     77,                0.77455,                0.94695,                 1.0528,                0.24315,                0.19131,                 0.1697,                0.12494,                 1.0701,                 2.0121,                 1.3297,               0.002476,               0.002476,               0.002476
                     78,                0.76439,                0.93671,                 1.0612,                0.24892,                0.21799,                0.17026,                0.12696,                 1.1044,                 2.1688,                 1.3483,               0.002377,               0.002377,               0.002377
                     79,                0.78185,                0.92978,                 1.0433,                0.21814,                0.18738,                0.15925,                0.11613,                 1.0996,                 2.1404,                 1.3363,               0.002278,               0.002278,               0.002278
                     80,                 0.7406,                0.90177,                 1.0491,                0.28435,                0.23267,                0.18512,                0.13292,                 1.0947,                 2.0219,                 1.3346,               0.002179,               0.002179,               0.002179
                     81,                0.74994,                0.89316,                 1.0381,                0.25591,                0.19719,                0.18131,                 0.1276,                  1.091,                  2.007,                 1.3286,                0.00208,                0.00208,                0.00208
                     82,                0.75363,                0.89463,                 1.0515,                0.20027,                0.21334,                0.18363,                0.12828,                 1.0565,                  1.999,                 1.2963,               0.001981,               0.001981,               0.001981
                     83,                0.75301,                0.89836,                 1.0343,                0.22556,                0.23545,                0.17416,                0.12221,                 1.0569,                 2.1277,                 1.3111,               0.001882,               0.001882,               0.001882
                     84,                0.73171,                0.84085,                 1.0353,                0.29727,                0.19726,                0.16931,                 0.1245,                 1.0546,                 2.0693,                 1.3251,               0.001783,               0.001783,               0.001783
                     85,                 0.7301,                0.81847,                  1.039,                0.20226,                0.24724,                0.17194,                0.12063,                 1.0715,                 2.0502,                 1.3541,               0.001684,               0.001684,               0.001684
                     86,                 0.7388,                0.84939,                 1.0348,                0.20631,                0.24687,                0.18028,                0.12817,                 1.0724,                 1.9661,                  1.352,               0.001585,               0.001585,               0.001585
